Case Owner,Case Number,Product,Date/Time Closed
Dajah Gray,00001234,Amplify ELA,2024-10-10 09:15:00
Dajah Gray,00001235,Amplify Math,2024-10-10 10:30:00
Dajah Gray,00001236,Amplify Science,2024-10-10 14:45:00
Alison Daniel,00001237,Amplify ELA,2024-10-10 11:20:00
Alison Daniel,00001238,Amplify Math,2024-10-10 15:10:00
Marcus Johnson,00001239,Amplify ELA,2024-10-10 13:25:00
Marcus Johnson,00001240,Amplify Science,2024-10-10 16:40:00
Marcus Johnson,00001241,Amplify Math,2024-10-10 17:15:00
Sarah Williams,00001242,Amplify ELA,2024-10-10 12:05:00
Sarah Williams,00001243,Amplify Math,2024-10-10 14:20:00
Kevin Brown,00001244,Amplify Science,2024-10-10 09:45:00
Kevin Brown,00001245,Amplify ELA,2024-10-10 11:55:00
Lisa Rodriguez,00001246,Amplify Math,2024-10-10 13:10:00
Lisa Rodriguez,00001247,Amplify Science,2024-10-10 15:35:00
Lisa Rodriguez,00001248,Amplify ELA,2024-10-10 16:20:00
Tony Mitchell,00001249,Amplify Math,2024-10-10 10:15:00
Tony Mitchell,00001250,Amplify Science,2024-10-10 14:50:00
Amanda Clark,00001251,Amplify ELA,2024-10-10 12:40:00
Amanda Clark,00001252,Amplify Math,2024-10-10 16:05:00
David Taylor,00001253,Amplify Science,2024-10-10 11:30:00
David Taylor,00001254,Amplify ELA,2024-10-10 15:45:00
David Taylor,00001255,Amplify Math,2024-10-10 17:20:00
Jessica Martinez,00001256,Amplify Science,2024-10-10 09:20:00
Jessica Martinez,00001257,Amplify ELA,2024-10-10 13:50:00
